Domain,IP Address
smtp.uit.edu.vn,192.168.20.87
live.uit.edu.vn,192.168.22.38
uhongdl.uit.edu.vn,Resolution Failed
gaingon.uit.edu.vn,Resolution Failed
traibao.uit.edu.vn,Resolution Failed
daa1.uit.edu.vn,Resolution Failed
dkhpapi.uit.edu.vn,10.61.0.5
dsc.uit.edu.vn,10.204.2.4
elearning.uit.edu.vn,Resolution Failed
aiclubcs.uit.edu.vn,Resolution Failed
rmit.uit.edu.vn,Resolution Failed
state.uit.edu.vn,Resolution Failed
cfl.uit.edu.vn,192.168.20.62
dev.uit.edu.vn,192.168.20.200
bandl.uit.edu.vn,10.204.2.4
huongnghiep.uit.edu.vn,Resolution Failed
cc62e73f33af4d5vlab2.uit.edu.vn,Resolution Failed
vlab2.uit.edu.vn,Resolution Failed
ucpc.uit.edu.vn,192.168.20.112
post.uit.edu.vn,Resolution Failed
fce.uit.edu.vn,192.168.20.38
ttpcdbcl.uit.edu.vn,10.204.2.4
link.uit.edu.vn,10.204.2.4
tttdtt.uit.edu.vn,192.168.20.108
eth2.uit.edu.vn,192.168.20.229
aiclub.uit.edu.vn,192.168.28.79
sa.uit.edu.vn,10.204.2.4
momiji.uit.edu.vn,172.217.27.51
competitions.uit.edu.vn,192.168.24.10
chungthuc.uit.edu.vn,192.168.20.22
tracnghiem.uit.edu.vn,10.204.2.4
ts.uit.edu.vn,10.204.2.4
host88.uit.edu.vn,Resolution Failed
cntt.uit.edu.vn,192.168.20.60
ecommerce.uit.edu.vn,192.168.20.43
khcn2.uit.edu.vn,Resolution Failed
tcvaccine.uit.edu.vn,Resolution Failed
xncovid.uit.edu.vn,Resolution Failed
tech4covid.uit.edu.vn,Resolution Failed
nlp.uit.edu.vn,10.204.2.4
mapr.uit.edu.vn,192.168.20.98
thilaptrinh.uit.edu.vn,192.168.20.91
cncs.uit.edu.vn,Resolution Failed
ceday.uit.edu.vn,10.71.9.79
portal.uit.edu.vn,192.168.20.88
cdn.uit.edu.vn,Resolution Failed
apigwqa.uit.edu.vn,Resolution Failed
135-208.uit.edu.vn,Resolution Failed
201-109.uit.edu.vn,Resolution Failed
225-160.uit.edu.vn,Resolution Failed
arbe.uit.edu.vn,Resolution Failed
hsts.uit.edu.vn,Resolution Failed
log.uit.edu.vn,Resolution Failed
service.uit.edu.vn,Resolution Failed
com.uit.edu.vn,Resolution Failed
i-english.uit.edu.vn,192.168.20.175
vinhdanh.uit.edu.vn,192.168.20.120
forumbeta.uit.edu.vn,192.168.20.29
mitaka.uit.edu.vn,10.71.0.11
mapr2019.uit.edu.vn,Resolution Failed
alumni.uit.edu.vn,10.204.2.4
acm.uit.edu.vn,Resolution Failed
auth.uit.edu.vn,192.168.20.22
cnsc.uit.edu.vn,192.168.77.252
coures.uit.edu.vn,Resolution Failed
course.uit.edu.vn,10.204.2.4
cybertrain.uit.edu.vn,192.168.77.101
danguy.uit.edu.vn,10.204.2.4
dkhp.uit.edu.vn,10.61.0.4
doantn.uit.edu.vn,192.168.20.160
drl.uit.edu.vn,10.204.2.4
extensivereading.uit.edu.vn,192.168.20.225
gmail.uit.edu.vn,Resolution Failed
htt.uit.edu.vn,Resolution Failed
inseclab.uit.edu.vn,10.101.0.2
iscclub.uit.edu.vn,192.168.20.93
islab.uit.edu.vn,192.168.20.201
jobs.uit.edu.vn,192.168.20.211
khoahoctre.uit.edu.vn,192.168.20.98
lib.uit.edu.vn,192.168.20.6
mapr2018.uit.edu.vn,192.168.20.98
mmlab.uit.edu.vn,192.168.28.16
mmt.uit.edu.vn,192.168.20.232
netsens.uit.edu.vn,Resolution Failed
qttb.uit.edu.vn,10.204.2.4
quiz.uit.edu.vn,192.168.24.92
race.uit.edu.vn,192.168.20.98
sinhvien.uit.edu.vn,10.204.2.4
sois2017.uit.edu.vn,192.168.77.200
speechlab1.uit.edu.vn,192.168.20.178
thuvien.uit.edu.vn,10.204.2.4
tuoitre.uit.edu.vn,192.168.20.160
tuyensinh.uit.edu.vn,10.204.2.4
yuyxcvpliilit.uit.edu.vn,Resolution Failed
phongdl.uit.edu.vn,10.204.2.4
apiservice.uit.edu.vn,10.61.0.57
maskolis.uit.edu.vn,Resolution Failed
vlab.uit.edu.vn,10.103.0.19
iottestbed.uit.edu.vn,192.168.20.243
dangbo.uit.edu.vn,10.204.2.4
qlhc.uit.edu.vn,10.204.2.4
qhdn.uit.edu.vn,10.204.2.4
cuusv.uit.edu.vn,10.204.2.4
qldt.uit.edu.vn,192.168.20.69
dbcl.uit.edu.vn,10.204.2.4
er.uit.edu.vn,10.204.2.4
st.uit.edu.vn,10.204.2.4
zeroshell.uit.edu.vn,Resolution Failed
notebook.uit.edu.vn,192.168.28.76
courses.uit.edu.vn,10.204.2.4
en.uit.edu.vn,10.204.2.4
iot.uit.edu.vn,192.168.20.218
ctf.uit.edu.vn,10.204.2.4
ktmt.uit.edu.vn,192.168.20.38
khmt.uit.edu.vn,192.168.20.46
congdoan.uit.edu.vn,10.204.2.4
oep.uit.edu.vn,10.204.2.4
student.uit.edu.vn,10.204.2.4
survey.uit.edu.vn,192.168.20.97
fit.uit.edu.vn,192.168.20.60
ce.uit.edu.vn,192.168.20.38
forum.uit.edu.vn,192.168.20.29
banqlcs.uit.edu.vn,10.204.2.4
cs.uit.edu.vn,192.168.20.46
se.uit.edu.vn,192.168.20.35
ctgt.uit.edu.vn,10.204.2.4
cnpm.uit.edu.vn,192.168.20.35
daa.uit.edu.vn,10.204.2.33
nc.uit.edu.vn,192.168.20.232
uit.edu.vn,10.204.2.4
sdh.uit.edu.vn,10.204.2.4
khcn.uit.edu.vn,10.204.2.4
khtc.uit.edu.vn,10.204.2.4
ctsv.uit.edu.vn,10.204.2.4
httt.uit.edu.vn,192.168.20.43
is.uit.edu.vn,192.168.20.43
tchc.uit.edu.vn,10.204.2.4
kse2015.uit.edu.vn,Resolution Failed
www.uit.edu.vn,10.204.2.4
